SCHID,SCH_PSDISC_OOMOOS_BL_M,SCH_PSDISC_OOMOOS_WH_M,TOT_PSDISC
101280,6.0,3,9
101281,3.0,4,7
101282,4.0,1,5
101283,5.0,5,10
101284,3.0,2,5
101285,5.0,1,6
101286,8.0,2,10
101287,8.0,4,12
101288,5.0,2,7
101289,5.0,0,5
101290,8.0,1,9
101291,5.0,2,7
101292,,5,9
101293,3.0,3,6
101294,7.0,4,11
101295,4.0,2,6
101296,4.0,3,7
101297,5.0,1,6
101298,3.0,0,3
101299,,0,5
101300,,3,7
101301,6.0,1,7
101302,5.0,4,9
101303,5.0,1,6
101304,2.0,4,6
101305,5.0,2,7
101306,3.0,1,4
101307,3.0,1,4
101308,5.0,3,8
101309,4.0,1,5
101310,3.0,4,7
101311,4.0,3,7
101312,2.0,5,7
101313,6.0,1,7
101314,7.0,5,12
101315,3.0,3,6
101316,5.0,5,10
101317,4.0,2,6
101318,6.0,6,12
101319,,2,8
101320,2.0,3,5
101321,2.0,2,4
101322,5.0,5,10
101323,2.0,2,4
101324,7.0,3,10
101325,4.0,4,8
101326,5.0,5,10
101327,7.0,1,8
101328,5.0,4,9
101329,7.0,3,10
101330,1.0,7,8
101331,3.0,3,6
101332,4.0,4,8
101333,9.0,3,12
101334,4.0,6,10
101335,5.0,3,8
101336,6.0,1,7
101337,6.0,2,8
101338,3.0,3,6
101339,3.0,1,4
101340,5.0,4,9
101341,7.0,2,9
101342,6.0,2,8
101343,6.0,4,10
101344,4.0,2,6
101345,7.0,2,9
101346,4.0,3,7
101347,8.0,1,9
101348,5.0,0,5
101349,5.0,7,12
101350,4.0,4,8
101351,5.0,5,10
101352,2.0,3,5
101353,3.0,3,6
101354,7.0,0,7
101355,5.0,1,6
101356,6.0,1,7
101357,7.0,6,13
101358,,4,6
101359,7.0,2,9
101360,5.0,3,8
101361,5.0,4,9
101362,7.0,4,11
101363,6.0,1,7
101364,5.0,3,8
101365,0.0,3,3
101366,7.0,6,13
101367,5.0,1,6
101368,5.0,2,7
101369,6.0,3,9
101370,8.0,2,10
101371,4.0,5,9
101372,6.0,3,9
101373,4.0,1,5
101374,1.0,3,4
101375,3.0,2,5
101376,4.0,3,7
101377,5.0,2,7
101378,4.0,4,8
101379,5.0,2,7
101380,2.0,2,4
101381,2.0,5,7
101382,5.0,3,8
101383,5.0,1,6
101384,5.0,4,9
101385,6.0,3,9
101386,4.0,3,7
101387,9.0,1,10
101388,7.0,3,10
101389,2.0,5,7
101390,3.0,2,5
101391,4.0,0,4
101392,6.0,3,9
101393,,4,11
101394,4.0,3,7
101395,5.0,3,8
101396,5.0,5,10
101397,3.0,2,5
101398,3.0,2,5
101399,7.0,2,9
101400,3.0,3,6
101401,8.0,2,10
101402,8.0,4,12
101403,5.0,3,8
101404,5.0,1,6
101405,3.0,3,6
101406,3.0,5,8
101407,6.0,5,11
101408,5.0,3,8
101409,4.0,4,8
101410,6.0,5,11
101411,3.0,3,6
101412,12.0,3,15
101413,1.0,0,1
101414,6.0,4,10
101415,,3,4
101416,6.0,3,9
101417,,1,2
101418,,1,5
101419,3.0,3,6
101420,3.0,3,6
101421,5.0,1,6
101422,5.0,5,10
101423,5.0,3,8
101424,9.0,2,11
101425,3.0,2,5
101426,3.0,6,9
101427,6.0,3,9
101428,6.0,1,7
101429,3.0,3,6
101430,7.0,0,7
101431,4.0,3,7
101432,1.0,3,4
101433,7.0,3,10
101434,7.0,1,8
101435,2.0,5,7
101436,5.0,10,15
101437,6.0,0,6
101438,9.0,3,12
101439,3.0,5,8
101440,4.0,4,8
101441,10.0,5,15
101442,4.0,5,9
101443,4.0,0,4
101444,4.0,3,7
101445,7.0,2,9
101446,8.0,4,12
101447,6.0,1,7
101448,6.0,1,7
101449,3.0,0,3
101450,,4,9
101451,6.0,4,10
101452,2.0,2,4
101453,8.0,1,9
101454,,1,6
101455,4.0,2,6
101456,4.0,3,7
101457,2.0,0,2
101458,5.0,5,10
101459,5.0,3,8
101460,4.0,3,7
101461,2.0,1,3
101462,4.0,1,5
101463,4.0,0,4
101464,1.0,4,5
101465,8.0,3,11
101466,4.0,2,6
101467,10.0,2,12
101468,6.0,4,10
101469,3.0,4,7
101470,6.0,0,6
101471,4.0,0,4
101472,3.0,6,9
101473,2.0,6,8
101474,3.0,3,6
101475,5.0,0,5
101476,3.0,5,8
101477,4.0,5,9
101478,3.0,3,6
101479,6.0,6,12
101480,5.0,2,7
101481,5.0,4,9
101482,4.0,3,7
101483,4.0,0,4
101484,6.0,4,10
101485,4.0,4,8
101486,6.0,1,7
101487,4.0,2,6
101488,5.0,5,10
101489,5.0,6,11
101490,4.0,3,7
101491,5.0,4,9
101492,3.0,3,6
101493,4.0,2,6
101494,6.0,2,8
101495,6.0,3,9
101496,1.0,0,1
101497,3.0,2,5
101498,4.0,4,8
101499,6.0,1,7
101500,4.0,4,8
101501,3.0,4,7
101502,14.0,3,17
101503,5.0,5,10
101504,4.0,5,9
101505,5.0,3,8
101506,,2,7
101507,7.0,4,11
101508,7.0,1,8
101509,7.0,4,11
101510,2.0,3,5
101511,5.0,3,8
101512,3.0,3,6
101513,7.0,4,11
101514,,4,6
101515,6.0,4,10
101516,4.0,0,4
101517,8.0,2,10
101518,,4,9
101519,1.0,5,6
101520,,8,10
101521,3.0,4,7
101522,6.0,2,8
101523,8.0,3,11
101524,4.0,4,8
101525,3.0,1,4
101526,6.0,2,8
101527,6.0,5,11
101528,8.0,4,12
101529,6.0,5,11
101530,6.0,3,9
101531,5.0,3,8
101532,,3,7
101533,5.0,5,10
101534,5.0,5,10
101535,6.0,6,12
101536,11.0,4,15
101537,8.0,3,11
101538,7.0,6,13
101539,7.0,1,8
101540,4.0,3,7
101541,8.0,1,9
101542,6.0,2,8
101543,,3,5
101544,4.0,1,5
101545,0.0,5,5
101546,6.0,2,8
101547,0.0,3,3
101548,7.0,1,8
101549,9.0,3,12
101550,7.0,2,9
101551,2.0,2,4
101552,4.0,4,8
101553,8.0,2,10
101554,5.0,5,10
101555,,2,7
101556,6.0,3,9
101557,2.0,2,4
101558,4.0,2,6
101559,7.0,2,9
101560,3.0,2,5
101561,6.0,6,12
101562,2.0,2,4
101563,8.0,4,12
101564,10.0,2,12
101565,5.0,0,5
101566,4.0,6,10
101567,4.0,2,6
101568,8.0,2,10
101569,9.0,1,10
101570,7.0,3,10
101571,7.0,5,12
101572,3.0,3,6
101573,8.0,1,9
101574,7.0,0,7
101575,2.0,1,3
101576,5.0,3,8
101577,7.0,3,10
101578,6.0,3,9
101579,1.0,1,2
101580,3.0,4,7
101581,4.0,1,5
101582,4.0,2,6
101583,3.0,7,10
101584,7.0,0,7
101585,9.0,1,10
101586,4.0,1,5
101587,3.0,3,6
101588,4.0,3,7
101589,4.0,2,6
101590,6.0,4,10
101591,3.0,3,6
101592,10.0,1,11
101593,5.0,2,7
101594,5.0,3,8
101595,3.0,3,6
101596,2.0,4,6
101597,7.0,5,12
101598,5.0,3,8
101599,4.0,4,8
101600,6.0,2,8
101601,5.0,5,10
101602,4.0,1,5
101603,7.0,4,11
101604,4.0,2,6
101605,2.0,4,6
101606,3.0,2,5
101607,8.0,4,12
101608,5.0,2,7
101609,6.0,2,8
101610,2.0,5,7
101611,3.0,1,4
101612,3.0,3,6
101613,7.0,5,12
101614,5.0,2,7
101615,2.0,4,6
101616,2.0,2,4
101617,7.0,2,9
101618,8.0,1,9
101619,,6,10
101620,4.0,2,6
101621,4.0,3,7
101622,3.0,4,7
101623,4.0,3,7
101624,6.0,3,9
101625,5.0,3,8
101626,5.0,4,9
101627,3.0,4,7
101628,6.0,3,9
101629,4.0,6,10
101630,2.0,3,5
101631,5.0,2,7
101632,7.0,2,9
101633,8.0,2,10
101634,0.0,5,5
101635,5.0,5,10
101636,4.0,1,5
101637,6.0,1,7
101638,4.0,1,5
101639,7.0,5,12
101640,2.0,3,5
101641,3.0,4,7
101642,3.0,1,4
101643,5.0,3,8
101644,6.0,4,10
101645,9.0,0,9
101646,6.0,4,10
101647,7.0,3,10
101648,2.0,4,6
101649,2.0,3,5
101650,8.0,1,9
101651,8.0,2,10
101652,8.0,3,11
101653,7.0,1,8
101654,6.0,2,8
101655,2.0,4,6
101656,7.0,5,12
101657,6.0,3,9
101658,5.0,1,6
101659,6.0,5,11
101660,4.0,4,8
101661,4.0,5,9
101662,4.0,3,7
101663,5.0,4,9
101664,4.0,3,7
101665,7.0,2,9
101666,2.0,1,3
101667,4.0,2,6
101668,1.0,2,3
101669,6.0,2,8
101670,1.0,5,6
101671,6.0,4,10
101672,,3,9
101673,0.0,3,3
101674,6.0,2,8
101675,1.0,2,3
101676,4.0,3,7
101677,6.0,0,6
101678,7.0,2,9
101679,6.0,3,9
101680,3.0,4,7
101681,7.0,4,11
101682,6.0,1,7
101683,5.0,1,6
101684,7.0,3,10
101685,4.0,2,6
101686,7.0,3,10
101687,1.0,7,8
101688,2.0,3,5
101689,,0,2
101690,6.0,2,8
101691,8.0,6,14
101692,6.0,4,10
101693,0.0,1,1
101694,10.0,1,11
101695,2.0,1,3
101696,5.0,2,7
101697,8.0,5,13
101698,5.0,2,7
101699,,2,6
101700,3.0,4,7
101701,7.0,3,10
101702,7.0,1,8
101703,3.0,2,5
101704,3.0,5,8
101705,2.0,5,7
101706,2.0,5,7
101707,7.0,2,9
101708,4.0,2,6
101709,1.0,5,6
101710,,4,7
101711,10.0,5,15
101712,3.0,3,6
101713,,2,8
101714,,1,5
101715,5.0,2,7
101716,3.0,5,8
101717,7.0,2,9
101718,5.0,1,6
101719,2.0,4,6
101720,6.0,6,12
101721,3.0,6,9
101722,2.0,4,6
101723,7.0,4,11
101724,6.0,3,9
101725,3.0,2,5
101726,5.0,1,6
101727,7.0,2,9
101728,4.0,2,6
101729,4.0,2,6
101730,3.0,5,8
101731,6.0,2,8
101732,4.0,4,8
101733,5.0,5,10
101734,7.0,1,8
101735,4.0,2,6
101736,3.0,5,8
101737,1.0,1,2
101738,5.0,6,11
101739,8.0,1,9
101740,5.0,2,7
101741,5.0,8,13
101742,3.0,6,9
101743,3.0,1,4
101744,6.0,1,7
101745,5.0,5,10
101746,7.0,4,11
101747,6.0,4,10
101748,8.0,1,9
101749,8.0,1,9
101750,8.0,4,12
101751,9.0,4,13
101752,,0,5
101753,3.0,2,5
101754,4.0,0,4
101755,5.0,3,8
101756,6.0,2,8
101757,7.0,2,9
101758,,2,6
101759,,5,11
101760,13.0,6,19
101761,3.0,2,5
101762,7.0,5,12
101763,7.0,5,12
101764,2.0,6,8
101765,5.0,3,8
101766,2.0,1,3
101767,4.0,3,7
101768,3.0,0,3
101769,3.0,4,7
101770,1.0,3,4
101771,7.0,5,12
101772,4.0,1,5
101773,9.0,1,10
101774,4.0,3,7
101775,6.0,2,8
101776,3.0,2,5
101777,8.0,1,9
101778,6.0,4,10
101779,5.0,2,7
101780,3.0,5,8
101781,11.0,5,16
101782,7.0,2,9
101783,6.0,3,9
101784,6.0,4,10
101785,6.0,4,10
101786,6.0,3,9
101787,5.0,4,9
101788,8.0,4,12
101789,6.0,9,15
101790,8.0,5,13
101791,13.0,2,15
101792,4.0,2,6
101793,1.0,1,2
101794,4.0,3,7
101795,2.0,2,4
101796,7.0,5,12
101797,4.0,5,9
101798,5.0,1,6
101799,8.0,4,12
101800,6.0,2,8
101801,5.0,4,9
101802,2.0,2,4
101803,6.0,6,12
101804,5.0,2,7
101805,6.0,4,10
101806,3.0,5,8
101807,6.0,5,11
101808,6.0,1,7
101809,4.0,2,6
101810,7.0,0,7
101811,4.0,8,12
101812,0.0,6,6
101813,9.0,1,10
101814,1.0,4,5
101815,6.0,1,7
101816,4.0,2,6
101817,5.0,5,10
101818,6.0,3,9
101819,8.0,1,9
101820,4.0,4,8
101821,5.0,3,8
101822,10.0,2,12
101823,5.0,3,8
101824,7.0,3,10
101825,6.0,1,7
101826,4.0,1,5
101827,3.0,4,7
101828,5.0,5,10
101829,,6,10
101830,4.0,1,5
101831,5.0,3,8
101832,2.0,3,5
101833,7.0,1,8
101834,3.0,4,7
101835,5.0,1,6
101836,6.0,3,9
101837,8.0,3,11
101838,5.0,7,12
101839,3.0,5,8
101840,3.0,2,5
101841,5.0,7,12
101842,7.0,5,12
101843,5.0,5,10
101844,5.0,1,6
101845,10.0,5,15
101846,2.0,3,5
101847,6.0,4,10
101848,7.0,2,9
101849,4.0,1,5
101850,11.0,6,17
101851,5.0,2,7
101852,4.0,3,7
101853,1.0,3,4
101854,11.0,1,12
101855,3.0,1,4
101856,2.0,3,5
101857,7.0,2,9
101858,5.0,3,8
101859,1.0,2,3
101860,6.0,5,11
101861,4.0,3,7
101862,9.0,2,11
101863,4.0,2,6
101864,9.0,6,15
101865,5.0,5,10
101866,2.0,4,6
101867,8.0,5,13
101868,2.0,4,6
101869,7.0,5,12
101870,9.0,3,12
101871,3.0,2,5
101872,3.0,1,4
101873,6.0,3,9
101874,7.0,4,11
101875,2.0,3,5
101876,9.0,4,13
101877,5.0,3,8
101878,5.0,2,7
101879,3.0,3,6
101880,6.0,3,9
101881,6.0,2,8
101882,4.0,4,8
101883,6.0,3,9
101884,8.0,1,9
101885,4.0,0,4
101886,6.0,3,9
101887,4.0,4,8
101888,9.0,4,13
101889,5.0,1,6
101890,7.0,4,11
101891,2.0,1,3
101892,4.0,7,11
101893,4.0,0,4
101894,7.0,3,10
101895,3.0,6,9
101896,4.0,4,8
101897,3.0,7,10
101898,3.0,4,7
101899,2.0,3,5
101900,10.0,0,10
101901,3.0,3,6
101902,2.0,1,3
101903,6.0,5,11
101904,4.0,2,6
101905,6.0,3,9
101906,2.0,5,7
101907,4.0,4,8
101908,9.0,2,11
101909,10.0,2,12
101910,5.0,2,7
101911,2.0,2,4
101912,3.0,2,5
101913,7.0,3,10
101914,6.0,2,8
101915,4.0,2,6
101916,2.0,4,6
101917,7.0,2,9
101918,6.0,2,8
101919,7.0,0,7
101920,7.0,2,9
101921,3.0,7,10
101922,,2,5
101923,4.0,1,5
101924,5.0,3,8
101925,2.0,2,4
101926,4.0,6,10
101927,7.0,1,8
101928,5.0,2,7
101929,6.0,3,9
101930,4.0,3,7
101931,9.0,2,11
101932,2.0,3,5
101933,6.0,4,10
101934,,3,7
101935,3.0,1,4
101936,,4,10
101937,7.0,4,11
101938,8.0,4,12
101939,9.0,2,11
101940,5.0,6,11
101941,4.0,3,7
101942,3.0,0,3
101943,7.0,4,11
101944,,2,6
101945,8.0,1,9
101946,8.0,0,8
101947,1.0,2,3
101948,5.0,3,8
101949,4.0,1,5
101950,3.0,1,4
101951,2.0,4,6
101952,8.0,2,10
101953,8.0,0,8
101954,3.0,3,6
101955,4.0,4,8
101956,12.0,1,13
101957,3.0,2,5
101958,3.0,4,7
101959,,0,4
101960,3.0,5,8
101961,4.0,4,8
101962,6.0,1,7
101963,4.0,3,7
101964,3.0,3,6
101965,8.0,2,10
101966,2.0,1,3
101967,3.0,2,5
101968,7.0,1,8
101969,3.0,3,6
101970,7.0,5,12
101971,5.0,4,9
101972,2.0,6,8
101973,9.0,2,11
101974,,2,6
101975,3.0,1,4
101976,1.0,2,3
101977,2.0,3,5
101978,6.0,4,10
101979,10.0,3,13
101980,6.0,5,11
101981,6.0,2,8
101982,2.0,3,5
101983,4.0,0,4
101984,5.0,3,8
101985,8.0,2,10
101986,5.0,2,7
101987,3.0,4,7
101988,1.0,4,5
101989,,2,9
101990,7.0,3,10
101991,4.0,6,10
101992,4.0,0,4
101993,4.0,2,6
101994,9.0,0,9
101995,1.0,4,5
101996,3.0,1,4
101997,4.0,1,5
101998,,4,7
101999,3.0,1,4
102000,8.0,2,10
102001,11.0,1,12
102002,4.0,6,10
102003,2.0,8,10
102004,3.0,4,7
102005,4.0,2,6
102006,2.0,1,3
102007,7.0,3,10
102008,2.0,2,4
102009,11.0,3,14
102010,5.0,5,10
102011,5.0,2,7
102012,4.0,2,6
102013,4.0,7,11
102014,4.0,5,9
102015,3.0,5,8
102016,5.0,3,8
102017,9.0,2,11
102018,5.0,3,8
102019,2.0,4,6
102020,6.0,4,10
102021,7.0,1,8
102022,5.0,2,7
102023,7.0,5,12
102024,7.0,1,8
102025,8.0,4,12
102026,7.0,4,11
102027,3.0,3,6
102028,4.0,5,9
102029,4.0,3,7
102030,3.0,6,9
102031,7.0,2,9
102032,7.0,4,11
102033,3.0,4,7
102034,7.0,4,11
102035,8.0,3,11
102036,3.0,0,3
102037,4.0,0,4
102038,7.0,3,10
102039,1.0,1,2
102040,4.0,6,10
102041,2.0,4,6
102042,2.0,6,8
102043,5.0,1,6
102044,6.0,5,11
102045,5.0,4,9
102046,4.0,4,8
102047,5.0,2,7
102048,7.0,2,9
102049,4.0,4,8
102050,2.0,3,5
102051,9.0,6,15
102052,4.0,2,6
102053,3.0,5,8
102054,4.0,2,6
102055,4.0,1,5
102056,6.0,2,8
102057,4.0,5,9
102058,6.0,3,9
102059,9.0,9,18
102060,3.0,1,4
102061,3.0,3,6
102062,8.0,4,12
102063,6.0,1,7
102064,1.0,3,4
102065,7.0,2,9
102066,5.0,1,6
102067,7.0,3,10
102068,5.0,4,9
102069,2.0,2,4
102070,6.0,1,7
102071,,2,9
102072,5.0,5,10
102073,6.0,2,8
102074,5.0,2,7
102075,6.0,0,6
102076,3.0,1,4
102077,4.0,1,5
102078,5.0,0,5
102079,8.0,4,12
102080,10.0,1,11
102081,5.0,6,11
102082,3.0,1,4
102083,7.0,2,9
102084,,3,5
102085,6.0,4,10
102086,6.0,0,6
102087,6.0,5,11
102088,,6,11
102089,0.0,1,1
102090,6.0,2,8
102091,,1,5
102092,6.0,4,10
102093,3.0,4,7
102094,6.0,4,10
102095,3.0,4,7
102096,5.0,7,12
102097,2.0,4,6
102098,4.0,3,7
102099,7.0,8,15
102100,6.0,5,11
102101,7.0,4,11
102102,6.0,6,12
102103,2.0,3,5
102104,0.0,3,3
102105,4.0,1,5
102106,5.0,3,8
102107,2.0,3,5
102108,3.0,4,7
102109,6.0,1,7
102110,9.0,4,13
102111,6.0,2,8
102112,4.0,2,6
102113,2.0,5,7
102114,6.0,1,7
102115,7.0,1,8
102116,2.0,0,2
102117,6.0,2,8
102118,,5,13
102119,4.0,2,6
102120,6.0,2,8
102121,,1,7
102122,1.0,2,3
102123,7.0,2,9
102124,6.0,4,10
102125,,3,8
102126,3.0,1,4
102127,7.0,1,8
102128,4.0,2,6
102129,2.0,6,8
102130,7.0,5,12
102131,5.0,1,6
102132,8.0,1,9
102133,7.0,4,11
102134,,2,7
102135,4.0,1,5
102136,3.0,2,5
102137,9.0,4,13
102138,4.0,0,4
102139,8.0,4,12
102140,4.0,1,5
102141,2.0,3,5
102142,,6,8
102143,5.0,6,11
102144,8.0,3,11
102145,5.0,4,9
102146,6.0,4,10
102147,3.0,4,7
102148,5.0,2,7
102149,8.0,7,15
102150,4.0,2,6
102151,,4,9
102152,1.0,2,3
102153,5.0,5,10
102154,6.0,2,8
102155,3.0,4,7
102156,6.0,3,9
102157,5.0,2,7
102158,5.0,4,9
102159,6.0,3,9
102160,6.0,0,6
102161,7.0,3,10
102162,6.0,4,10
102163,5.0,4,9
102164,6.0,2,8
102165,6.0,4,10
102166,5.0,6,11
102167,10.0,4,14
102168,4.0,2,6
102169,8.0,5,13
102170,6.0,3,9
102171,4.0,4,8
102172,5.0,3,8
102173,4.0,4,8
102174,6.0,1,7
102175,2.0,5,7
102176,2.0,8,10
102177,9.0,2,11
102178,1.0,4,5
102179,3.0,4,7
102180,4.0,4,8
102181,3.0,4,7
102182,2.0,3,5
102183,6.0,4,10
102184,2.0,3,5
102185,,2,9
102186,10.0,1,11
102187,1.0,0,1
102188,2.0,2,4
102189,4.0,4,8
102190,4.0,1,5
102191,8.0,1,9
102192,6.0,1,7
102193,2.0,3,5
102194,6.0,1,7
102195,8.0,5,13
102196,8.0,1,9
102197,2.0,2,4
102198,5.0,4,9
102199,4.0,0,4
102200,3.0,5,8
102201,8.0,2,10
102202,3.0,2,5
102203,7.0,6,13
102204,2.0,4,6
102205,1.0,3,4
102206,5.0,1,6
102207,4.0,3,7
102208,4.0,2,6
102209,4.0,5,9
102210,3.0,1,4
102211,0.0,3,3
102212,2.0,4,6
102213,3.0,3,6
102214,4.0,3,7
102215,2.0,2,4
102216,6.0,3,9
102217,5.0,6,11
102218,,3,4
102219,,3,11
102220,6.0,6,12
102221,1.0,6,7
102222,,3,12
102223,3.0,3,6
102224,9.0,4,13
102225,,4,8
102226,3.0,2,5
102227,7.0,0,7
102228,5.0,1,6
102229,6.0,5,11
102230,3.0,1,4
102231,7.0,5,12
102232,,3,8
102233,8.0,4,12
102234,7.0,2,9
102235,3.0,4,7
102236,5.0,8,13
102237,9.0,0,9
102238,5.0,5,10
102239,6.0,0,6
102240,4.0,4,8
102241,6.0,2,8
102242,6.0,5,11
102243,5.0,1,6
102244,6.0,1,7
102245,4.0,2,6
102246,4.0,4,8
102247,7.0,1,8
102248,7.0,2,9
102249,5.0,5,10
102250,3.0,5,8
102251,3.0,4,7
102252,3.0,1,4
102253,2.0,3,5
102254,6.0,4,10
102255,3.0,2,5
102256,3.0,2,5
102257,11.0,2,13
102258,4.0,2,6
102259,10.0,2,12
102260,8.0,4,12
102261,3.0,1,4
102262,7.0,2,9
102263,5.0,5,10
102264,3.0,5,8
102265,5.0,3,8
102266,6.0,1,7
102267,5.0,3,8
102268,5.0,2,7
102269,2.0,1,3
102270,6.0,3,9
102271,5.0,7,12
102272,4.0,3,7
102273,7.0,3,10
102274,5.0,5,10
102275,6.0,3,9
102276,6.0,1,7
102277,6.0,5,11
102278,3.0,2,5
102279,,1,6
102280,4.0,4,8
102281,8.0,3,11
102282,3.0,2,5
102283,2.0,4,6
102284,1.0,0,1
102285,7.0,2,9
102286,3.0,3,6
102287,2.0,3,5
102288,4.0,2,6
102289,6.0,3,9
102290,2.0,3,5
102291,7.0,3,10
102292,4.0,2,6
102293,10.0,1,11
102294,8.0,6,14
102295,6.0,3,9
102296,7.0,1,8
102297,3.0,3,6
102298,4.0,5,9
102299,8.0,0,8
102300,5.0,3,8
102301,4.0,5,9
102302,4.0,2,6
102303,5.0,5,10
102304,5.0,5,10
102305,4.0,1,5
102306,3.0,3,6
102307,6.0,3,9
102308,8.0,2,10
102309,5.0,7,12
102310,5.0,7,12
102311,3.0,2,5
102312,5.0,1,6
102313,5.0,3,8
102314,10.0,2,12
102315,4.0,7,11
102316,4.0,3,7
102317,9.0,3,12
102318,5.0,7,12
102319,4.0,3,7
102320,2.0,3,5
102321,4.0,6,10
102322,4.0,4,8
102323,5.0,3,8
102324,2.0,4,6
102325,8.0,4,12
102326,,1,4
102327,5.0,2,7
102328,4.0,3,7
102329,5.0,2,7
102330,7.0,0,7
102331,6.0,1,7
102332,7.0,0,7
102333,3.0,3,6
102334,8.0,0,8
102335,3.0,2,5
102336,6.0,1,7
102337,6.0,2,8
102338,6.0,0,6
102339,3.0,7,10
102340,1.0,3,4
102341,6.0,2,8
102342,5.0,4,9
102343,2.0,1,3
102344,4.0,4,8
102345,10.0,5,15
102346,3.0,3,6
102347,11.0,2,13
102348,2.0,0,2
102349,3.0,0,3
102350,3.0,4,7
102351,2.0,0,2
102352,3.0,4,7
102353,6.0,5,11
102354,6.0,2,8
102355,7.0,0,7
102356,3.0,1,4
102357,5.0,6,11
102358,2.0,1,3
102359,5.0,0,5
102360,4.0,2,6
102361,1.0,3,4
102362,3.0,7,10
102363,3.0,3,6
102364,8.0,4,12
102365,10.0,4,14
102366,4.0,1,5
102367,5.0,3,8
102368,6.0,1,7
102369,3.0,4,7
102370,11.0,4,15
102371,5.0,5,10
102372,5.0,3,8
102373,3.0,6,9
102374,7.0,3,10
102375,2.0,2,4
102376,5.0,1,6
102377,4.0,7,11
102378,6.0,8,14
102379,4.0,2,6
102380,5.0,5,10
102381,3.0,3,6
102382,5.0,5,10
102383,6.0,2,8
102384,3.0,4,7
102385,7.0,1,8
102386,4.0,3,7
102387,2.0,4,6
102388,12.0,2,14
102389,4.0,2,6
102390,2.0,4,6
102391,7.0,3,10
102392,1.0,2,3
102393,0.0,2,2
102394,3.0,4,7
102395,10.0,6,16
102396,2.0,1,3
102397,9.0,2,11
102398,3.0,3,6
102399,6.0,1,7
102400,5.0,4,9
102401,3.0,3,6
102402,8.0,4,12
102403,4.0,4,8
102404,5.0,3,8
102405,4.0,1,5
102406,4.0,3,7
102407,3.0,5,8
102408,5.0,2,7
102409,3.0,2,5
102410,7.0,4,11
102411,2.0,6,8
102412,7.0,1,8
102413,4.0,3,7
102414,3.0,3,6
102415,3.0,4,7
102416,8.0,3,11
102417,10.0,4,14
102418,5.0,0,5
102419,8.0,1,9
102420,1.0,5,6
102421,6.0,3,9
102422,2.0,2,4
102423,4.0,1,5
102424,4.0,3,7
102425,8.0,3,11
102426,7.0,2,9
102427,4.0,3,7
102428,7.0,2,9
102429,5.0,7,12
102430,7.0,1,8
102431,3.0,1,4
102432,4.0,5,9
102433,8.0,5,13
102434,7.0,2,9
102435,2.0,1,3
102436,2.0,2,4
102437,6.0,5,11
102438,8.0,3,11
102439,4.0,4,8
102440,6.0,1,7
102441,8.0,4,12
102442,6.0,4,10
102443,,5,9
102444,6.0,2,8
102445,6.0,3,9
102446,4.0,2,6
102447,4.0,1,5
102448,5.0,3,8
102449,9.0,5,14
102450,,3,8
102451,6.0,1,7
102452,9.0,2,11
102453,3.0,6,9
102454,10.0,5,15
102455,7.0,4,11
102456,6.0,3,9
102457,5.0,1,6
102458,5.0,6,11
102459,9.0,0,9
102460,7.0,1,8
102461,7.0,3,10
102462,5.0,3,8
102463,2.0,3,5
102464,5.0,3,8
102465,4.0,3,7
102466,7.0,4,11
102467,3.0,3,6
102468,3.0,4,7
102469,6.0,1,7
102470,3.0,3,6
102471,5.0,3,8
102472,3.0,2,5
102473,8.0,2,10
102474,3.0,3,6
102475,7.0,2,9
102476,5.0,0,5
102477,6.0,0,6
102478,4.0,2,6
102479,6.0,4,10
102480,7.0,5,12
102481,10.0,2,12
102482,7.0,1,8
102483,6.0,1,7
102484,4.0,3,7
102485,6.0,5,11
102486,,2,4
102487,2.0,4,6
102488,3.0,2,5
102489,9.0,3,12
102490,4.0,2,6
102491,7.0,5,12
102492,8.0,4,12
102493,,4,10
102494,3.0,3,6
102495,6.0,3,9
102496,3.0,2,5
102497,7.0,1,8
102498,6.0,5,11
102499,,9,11
102500,1.0,6,7
102501,2.0,1,3
102502,5.0,3,8
102503,4.0,2,6
102504,5.0,2,7
102505,8.0,7,15
102506,4.0,4,8
102507,6.0,1,7
102508,3.0,5,8
102509,,3,7
102510,8.0,3,11
102511,5.0,4,9
102512,7.0,6,13
102513,2.0,4,6
102514,5.0,5,10
102515,10.0,1,11
102516,4.0,3,7
102517,5.0,4,9
102518,3.0,6,9
102519,3.0,1,4
102520,8.0,2,10
102521,3.0,3,6
102522,7.0,2,9
102523,8.0,2,10
102524,4.0,3,7
102525,5.0,4,9
102526,6.0,5,11
102527,1.0,2,3
102528,2.0,4,6
102529,3.0,4,7
102530,4.0,4,8
102531,4.0,3,7
102532,4.0,2,6
102533,3.0,2,5
102534,5.0,2,7
102535,5.0,0,5
102536,2.0,1,3
102537,6.0,0,6
102538,3.0,7,10
102539,,1,5
102540,,6,9
102541,6.0,2,8
102542,4.0,3,7
102543,1.0,6,7
102544,9.0,3,12
102545,7.0,1,8
102546,5.0,1,6
102547,,2,6
102548,2.0,4,6
102549,4.0,1,5
102550,5.0,1,6
102551,4.0,4,8
102552,6.0,5,11
102553,3.0,1,4
102554,7.0,2,9
102555,5.0,4,9
102556,6.0,8,14
102557,7.0,3,10
102558,2.0,3,5
102559,6.0,8,14
102560,4.0,6,10
102561,6.0,1,7
102562,3.0,5,8
102563,6.0,3,9
